Rent,Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Listing_Title,Listing_Description,Amenities_Text,Landmarks_Text,Reviews_Text,Complaints_Text,Lease_Rules_Text,Inquiry_Text,Inspection_Notes_Text,Scam_Flag,Scam_Rationale,Cluster
15000,2022-05-29,2,800,1 out of 2,carpet area,adambakkam,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in adambakkam, chennai","2 bhk unfurnished home of 800 sq ft (carpet area). location: adambakkam, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 15000 per month.","security, power backup, play area, cctv, visitor parking",near park (2.7 km); near mall (1.1 km); near hospital (1.7 km),owner is responsive and helpful. | parking is convenient and secure.,not_applicable,no loud music after 10 pm. security deposit is two months rent. no smoking inside the house.,"need a unfurnished home in chennai, prefer bachelors/family.",walls need minor repainting. good natural light in living room. kitchen cabinets in good condition.,no,not_applicable,1
14000,2022-06-02,2,1200,ground out of 3,super area,"valasaravakkam, arcot road",chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in valasaravakkam, arcot road, chennai","2 bhk semi-furnished home of 1200 sq ft (super area). location: valasaravakkam, arcot road, chennai. floor: ground out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 14000 per month.","fire safety, gym, play area, cctv, lift, parking, security",near market (1.7 km); near park (2.6 km); near church (0.7 km),good water supply and quiet neighborhood. | spacious rooms and good ventilation. | safe area with friendly neighbors.,not_applicable,no smoking inside the house. security deposit is two months rent. pets allowed only with prior approval.,"need a semi-furnished home in chennai, prefer bachelors/family.",walls need minor repainting. flooring shows normal wear. good natural light in living room.,no,not_applicable,1
11000,2022-05-07,2,750,1 out of 1,super area,vivekanathanagar kolathur,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in vivekanathanagar kolathur, chennai","2 bhk unfurnished home of 750 sq ft (super area). location: vivekanathanagar kolathur, chennai. floor: 1 out of 1. bathrooms: 2. tenant preference: bachelors/family. rent: inr 11000 per month.","gated community, fire safety, play area, internet ready, parking, community hall",near mall (3.2 km); near temple (1.8 km); near market (1.3 km),clean and well maintained building. | good water supply and quiet neighborhood.,not_applicable,security deposit is two months rent. maintenance charges are extra. no loud music after 10 pm.,"want to move in next month, budget around inr 11000.",kitchen cabinets in good condition. bathrooms are clean and functional. good natural light in living room.,no,not_applicable,1
6500,2022-04-29,1,550,2 out of 2,super area,jawahar nagar,chennai,unfurnished,bachelors/family,1,contact owner,"1 bhk unfurnished home in jawahar nagar, chennai","1 bhk unfurnished home of 550 sq ft (super area). location: jawahar nagar, chennai. floor: 2 out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 6500 per month.","play area, security, water supply, park, lift, club house, community hall",near bus stop (1.3 km); near clinic (0.8 km); near church (3.5 km),spacious rooms and good ventilation. | safe area with friendly neighbors.,not_applicable,security deposit is two months rent. no loud music after 10 pm. maintenance charges are extra.,searching for a rental with parking and lift around jawahar nagar.,kitchen cabinets in good condition. walls need minor repainting. good natural light in living room.,no,not_applicable,1
26000,2022-06-22,3,1567,3 out of 4,carpet area,old mahabalipuram road,chennai,furnished,bachelors/family,3,contact owner,"3 bhk furnished home in old mahabalipuram road, chennai","3 bhk furnished home of 1567 sq ft (carpet area). location: old mahabalipuram road, chennai. floor: 3 out of 4. bathrooms: 3. tenant preference: bachelors/family. rent: inr 26000 per month.","maintenance staff, intercom, visitor parking, lift, power backup, solar lighting",near supermarket (1.2 km); near market (0.4 km); near railway station (2.7 km),safe area with friendly neighbors. | parking is convenient and secure.,not_applicable,tenant must follow society by-laws. maintenance charges are extra. security deposit is two months rent. no smoking inside the house.,"want to move in next month, budget around inr 26000.",kitchen cabinets in good condition. good natural light in living room.,no,not_applicable,0
7500,2022-05-03,1,650,ground out of 1,super area,"nemilichery, chromepet",chennai,semi-furnished,bachelors/family,1,contact owner,"1 bhk semi-furnished home in nemilichery, chromepet, chennai","1 bhk semi-furnished home of 650 sq ft (super area). location: nemilichery, chromepet, chennai. floor: ground out of 1. bathrooms: 1. tenant preference: bachelors/family. rent: inr 7500 per month.","community hall, gated community, cctv, waste management, park, rainwater harvesting",near mosque (0.6 km); near park (1.0 km); near railway station (1.0 km); near supermarket (3.5 km),maintenance is timely and professional. | parking is convenient and secure.,not_applicable,maintenance charges are extra. pets allowed only with prior approval. no loud music after 10 pm.,"searching for a rental with parking and lift around nemilichery, chromepet.",bathrooms are clean and functional. electrical fittings are working properly.,no,not_applicable,1
14500,2022-06-06,2,1150,1 out of 1,carpet area,"zamin pallavaram, pallavaram",chennai,unfurnished,bachelors,2,contact owner,"2 bhk unfurnished home in zamin pallavaram, pallavaram, chennai","2 bhk unfurnished home of 1150 sq ft (carpet area). location: zamin pallavaram, pallavaram, chennai. floor: 1 out of 1. bathrooms: 2. tenant preference: bachelors. rent: inr 14500 per month.","parking, cctv, solar lighting, maintenance staff, park, fire safety",near temple (0.8 km); near hospital (3.1 km); near park (0.3 km); near market (0.7 km),clean and well maintained building. | maintenance is timely and professional. | safe area with friendly neighbors.,not_applicable,no smoking inside the house. tenant must follow society by-laws. no loud music after 10 pm.,"searching for a rental with parking and lift around zamin pallavaram, pallavaram.",good natural light in living room. flooring shows normal wear.,no,not_applicable,1
280000,2022-06-28,6,4500,ground out of 1,carpet area,raja annamalai puram,chennai,semi-furnished,bachelors,5,contact agent,"6 bhk semi-furnished home in raja annamalai puram, chennai","6 bhk semi-furnished home of 4500 sq ft (carpet area). location: raja annamalai puram, chennai. floor: ground out of 1. bathrooms: 5. tenant preference: bachelors. rent: inr 280000 per month.","power backup, security, play area, visitor parking, parking",near clinic (3.1 km); near pharmacy (3.6 km),easy access to public transport. | owner is responsive and helpful.,not_applicable,no smoking inside the house. tenant must follow society by-laws. no loud music after 10 pm. pets allowed only with prior approval.,looking for a 6 bhk near raja annamalai puram within inr 280000.,walls need minor repainting. good natural light in living room.,no,not_applicable,2
12000,2022-06-14,2,900,3 out of 4,super area,"shenoy nagar, ph road",chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in shenoy nagar, ph road, chennai","2 bhk unfurnished home of 900 sq ft (super area). location: shenoy nagar, ph road, chennai. floor: 3 out of 4. bathrooms: 2. tenant preference: bachelors/family. rent: inr 12000 per month.","security, internet ready, maintenance staff, cctv, power backup, waste management, solar lighting",near supermarket (1.7 km); near mosque (1.6 km),spacious rooms and good ventilation. | parking is convenient and secure. | maintenance is timely and professional.,not_applicable,one month notice required before vacating. no smoking inside the house. no loud music after 10 pm.,"need a unfurnished home in chennai, prefer bachelors/family.",kitchen cabinets in good condition. good natural light in living room.,no,not_applicable,1
45000,2022-07-06,3,1450,1 out of 4,carpet area,mylapore,chennai,unfurnished,bachelors,2,contact agent,"3 bhk unfurnished home in mylapore, chennai","3 bhk unfurnished home of 1450 sq ft (carpet area). location: mylapore, chennai. floor: 1 out of 4. bathrooms: 2. tenant preference: bachelors. rent: inr 45000 per month.","solar lighting, visitor parking, security, rainwater harvesting, parking",near clinic (1.9 km); near school (1.5 km),safe area with friendly neighbors. | good water supply and quiet neighborhood.,not_applicable,security deposit is two months rent. pets allowed only with prior approval. maintenance charges are extra. no loud music after 10 pm.,searching for a rental with parking and lift around mylapore.,good natural light in living room. kitchen cabinets in good condition. flooring shows normal wear.,no,not_applicable,0
22000,2022-05-20,2,850,2 out of 3,super area,virugambakkam,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in virugambakkam, chennai","2 bhk semi-furnished home of 850 sq ft (super area). location: virugambakkam, chennai. floor: 2 out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 22000 per month.","power backup, cctv, community hall, visitor parking, play area",near church (0.5 km); near pharmacy (2.4 km); near mosque (3.9 km),owner is responsive and helpful. | clean and well maintained building. | maintenance is timely and professional.,not_applicable,no smoking inside the house. one month notice required before vacating. pets allowed only with prior approval.,searching for a rental with parking and lift around virugambakkam.,electrical fittings are working properly. good natural light in living room. flooring shows normal wear.,no,not_applicable,1
7000,2022-05-20,1,550,ground out of 1,super area,sembakkam,chennai,unfurnished,bachelors/family,1,contact owner,"1 bhk unfurnished home in sembakkam, chennai","1 bhk unfurnished home of 550 sq ft (super area). location: sembakkam, chennai. floor: ground out of 1. bathrooms: 1. tenant preference: bachelors/family. rent: inr 7000 per month.","cctv, park, gated community, maintenance staff, fire safety, club house, waste management",near supermarket (2.4 km); near temple (1.9 km); near bus stop (2.4 km),good water supply and quiet neighborhood. | maintenance is timely and professional.,not_applicable,no loud music after 10 pm. no smoking inside the house. tenant must follow society by-laws. pets allowed only with prior approval.,"want to move in next month, budget around inr 7000.",walls need minor repainting. good natural light in living room.,no,not_applicable,1
7000,2022-05-23,1,600,ground out of 1,carpet area,"ganapathipuram, chromepet",chennai,unfurnished,bachelors/family,1,contact owner,"1 bhk unfurnished home in ganapathipuram, chromepet, chennai","1 bhk unfurnished home of 600 sq ft (carpet area). location: ganapathipuram, chromepet, chennai. floor: ground out of 1. bathrooms: 1. tenant preference: bachelors/family. rent: inr 7000 per month.","rainwater harvesting, cctv, intercom, waste management, community hall, maintenance staff, internet ready",near mosque (1.1 km); near supermarket (3.1 km); near hospital (0.7 km); near mall (2.9 km),safe area with friendly neighbors. | parking is convenient and secure.,not_applicable,maintenance charges are extra. one month notice required before vacating. pets allowed only with prior approval.,"looking for a 1 bhk near ganapathipuram, chromepet within inr 7000.",good natural light in living room. flooring shows normal wear.,no,not_applicable,1
45000,2022-05-06,2,1200,2 out of 3,super area,"chetpet, ph road",chennai,furnished,bachelors/family,2,contact owner,"2 bhk furnished home in chetpet, ph road, chennai","2 bhk furnished home of 1200 sq ft (super area). location: chetpet, ph road, chennai. floor: 2 out of 3. bathrooms: 2. tenant preference: bachelors/family. rent: inr 45000 per month.","fire safety, water supply, power backup, cctv, rainwater harvesting",near railway station (0.6 km); near supermarket (2.4 km),owner is responsive and helpful. | safe area with friendly neighbors. | good water supply and quiet neighborhood.,not_applicable,maintenance charges are extra. no smoking inside the house. security deposit is two months rent. pets allowed only with prior approval.,"want to move in next month, budget around inr 45000.",good natural light in living room. kitchen cabinets in good condition. electrical fittings are working properly.,no,not_applicable,1
20000,2022-05-25,4,1450,3 out of 4,super area,tiruvottiyur,chennai,semi-furnished,bachelors/family,4,contact owner,"4 bhk semi-furnished home in tiruvottiyur, chennai","4 bhk semi-furnished home of 1450 sq ft (super area). location: tiruvottiyur, chennai. floor: 3 out of 4. bathrooms: 4. tenant preference: bachelors/family. rent: inr 20000 per month.","intercom, security, cctv, lift, internet ready",near school (3.4 km); near mall (2.8 km); near metro station (3.5 km); near college (2.4 km),easy access to public transport. | parking is convenient and secure. | good water supply and quiet neighborhood.,not_applicable,no smoking inside the house. pets allowed only with prior approval. no loud music after 10 pm. one month notice required before vacating.,"need a semi-furnished home in chennai, prefer bachelors/family.",electrical fittings are working properly. flooring shows normal wear.,no,not_applicable,0
14000,2022-06-12,2,560,1 out of 2,carpet area,medavakkam,chennai,semi-furnished,family,2,contact owner,"2 bhk semi-furnished home in medavakkam, chennai","2 bhk semi-furnished home of 560 sq ft (carpet area). location: medavakkam, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: family. rent: inr 14000 per month.","park, gated community, water supply, parking, waste management",near atm (1.7 km); near temple (0.5 km); near mosque (1.7 km),spacious rooms and good ventilation. | owner is responsive and helpful. | clean and well maintained building.,not_applicable,no loud music after 10 pm. pets allowed only with prior approval. security deposit is two months rent.,searching for a rental with parking and lift around medavakkam.,bathrooms are clean and functional. kitchen cabinets in good condition.,no,not_applicable,1
18000,2022-06-18,2,1113,2 out of 4,super area,ayappakkam,chennai,semi-furnished,family,2,contact owner,"2 bhk semi-furnished home in ayappakkam, chennai","2 bhk semi-furnished home of 1113 sq ft (super area). location: ayappakkam, chennai. floor: 2 out of 4. bathrooms: 2. tenant preference: family. rent: inr 18000 per month.","play area, security, parking, gym, power backup, gated community",near college (3.7 km); near mall (1.2 km); near atm (0.6 km),maintenance is timely and professional. | clean and well maintained building.,unexpected maintenance charges were added.,pets allowed only with prior approval. no loud music after 10 pm. tenant must follow society by-laws.,searching for a rental with parking and lift around ayappakkam.,flooring shows normal wear. bathrooms are clean and functional. kitchen cabinets in good condition.,yes,asked for payment before sharing address. | unusually low rent for the area. | inconsistent photos and description.,1
20000,2022-06-14,3,1600,ground out of 2,super area,"chromepet, gst road",chennai,semi-furnished,bachelors/family,4,contact owner,"3 bhk semi-furnished home in chromepet, gst road, chennai","3 bhk semi-furnished home of 1600 sq ft (super area). location: chromepet, gst road, chennai. floor: ground out of 2. bathrooms: 4. tenant preference: bachelors/family. rent: inr 20000 per month.","maintenance staff, internet ready, security, community hall, cctv, power backup, intercom",near pharmacy (0.9 km); near bus stop (2.8 km); near clinic (0.6 km),spacious rooms and good ventilation. | good water supply and quiet neighborhood.,not_applicable,tenant must follow society by-laws. maintenance charges are extra. no smoking inside the house.,"searching for a rental with parking and lift around chromepet, gst road.",bathrooms are clean and functional. kitchen cabinets in good condition. flooring shows normal wear.,no,not_applicable,0
10000,2022-05-20,1,550,ground out of 2,carpet area,arumbakkam,chennai,unfurnished,bachelors/family,1,contact owner,"1 bhk unfurnished home in arumbakkam, chennai","1 bhk unfurnished home of 550 sq ft (carpet area). location: arumbakkam, chennai. floor: ground out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 10000 per month.","solar lighting, maintenance staff, lift, gated community, park, security, intercom",near railway station (4.0 km); near clinic (0.7 km); near bank (0.4 km); near atm (3.1 km),good water supply and quiet neighborhood. | spacious rooms and good ventilation. | clean and well maintained building.,not_applicable,pets allowed only with prior approval. no smoking inside the house. tenant must follow society by-laws. maintenance charges are extra.,looking for a 1 bhk near arumbakkam within inr 10000.,flooring shows normal wear. kitchen cabinets in good condition. good natural light in living room.,no,not_applicable,1
25000,2022-07-06,2,1200,3 out of 4,carpet area,kasi estate,chennai,unfurnished,bachelors/family,2,contact agent,"2 bhk unfurnished home in kasi estate, chennai","2 bhk unfurnished home of 1200 sq ft (carpet area). location: kasi estate, chennai. floor: 3 out of 4. bathrooms: 2. tenant preference: bachelors/family. rent: inr 25000 per month.","parking, water supply, waste management, club house, fire safety",near church (3.9 km); near clinic (2.1 km); near bus stop (1.6 km),safe area with friendly neighbors. | spacious rooms and good ventilation. | easy access to public transport.,not_applicable,one month notice required before vacating. pets allowed only with prior approval. security deposit is two months rent.,searching for a rental with parking and lift around kasi estate.,walls need minor repainting. electrical fittings are working properly. flooring shows normal wear.,no,not_applicable,1
18000,2022-05-26,2,900,1 out of 2,super area,elango nagar-virugambakkam,chennai,semi-furnished,family,2,contact owner,"2 bhk semi-furnished home in elango nagar-virugambakkam, chennai","2 bhk semi-furnished home of 900 sq ft (super area). location: elango nagar-virugambakkam, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: family. rent: inr 18000 per month.","lift, solar lighting, park, power backup, cctv, maintenance staff, community hall",near temple (1.8 km); near school (0.6 km); near bank (1.7 km),good water supply and quiet neighborhood. | owner is responsive and helpful. | spacious rooms and good ventilation.,not_applicable,maintenance charges are extra. security deposit is two months rent. one month notice required before vacating. no loud music after 10 pm.,looking for a 2 bhk near elango nagar-virugambakkam within inr 18000.,good natural light in living room. walls need minor repainting.,no,not_applicable,1
5000,2022-04-30,1,800,1 out of 2,super area,"tondiarpet, ennore high road",chennai,unfurnished,family,1,contact owner,"1 bhk unfurnished home in tondiarpet, ennore high road, chennai","1 bhk unfurnished home of 800 sq ft (super area). location: tondiarpet, ennore high road, chennai. floor: 1 out of 2. bathrooms: 1. tenant preference: family. rent: inr 5000 per month.","maintenance staff, gym, gated community, visitor parking, parking, water supply, waste management, intercom",near college (1.3 km); near pharmacy (0.4 km); near bus stop (0.9 km),owner is responsive and helpful. | parking is convenient and secure. | good water supply and quiet neighborhood.,not_applicable,security deposit is two months rent. no loud music after 10 pm. tenant must follow society by-laws. one month notice required before vacating.,"looking for a 1 bhk near tondiarpet, ennore high road within inr 5000.",electrical fittings are working properly. good natural light in living room. bathrooms are clean and functional.,no,not_applicable,1
12000,2022-06-14,2,1200,1 out of 5,super area,"perungalathur, chennai bypass road",chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in perungalathur, chennai bypass road, chennai","2 bhk semi-furnished home of 1200 sq ft (super area). location: perungalathur, chennai bypass road, chennai. floor: 1 out of 5. bathrooms: 2. tenant preference: bachelors/family. rent: inr 12000 per month.","gym, power backup, maintenance staff, club house, internet ready",near school (1.3 km); near railway station (0.6 km); near pharmacy (3.5 km); near bus stop (2.0 km),spacious rooms and good ventilation. | parking is convenient and secure. | owner is responsive and helpful.,not_applicable,tenant must follow society by-laws. no loud music after 10 pm. maintenance charges are extra.,"want to move in next month, budget around inr 12000.",kitchen cabinets in good condition. bathrooms are clean and functional. flooring shows normal wear.,no,not_applicable,1
13000,2022-07-02,2,1000,1 out of 2,super area,kodungaiyur west,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in kodungaiyur west, chennai","2 bhk semi-furnished home of 1000 sq ft (super area). location: kodungaiyur west, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 13000 per month.","maintenance staff, fire safety, community hall, water supply, solar lighting, internet ready, rainwater harvesting",near temple (3.6 km); near metro station (1.0 km); near market (3.0 km); near mall (2.4 km),parking is convenient and secure. | maintenance is timely and professional.,not_applicable,no loud music after 10 pm. no smoking inside the house. one month notice required before vacating. maintenance charges are extra.,"want to move in next month, budget around inr 13000.",walls need minor repainting. electrical fittings are working properly. kitchen cabinets in good condition.,no,not_applicable,1
30000,2022-07-06,2,1100,ground out of 4,super area,nandanam extension,chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in nandanam extension, chennai","2 bhk semi-furnished home of 1100 sq ft (super area). location: nandanam extension, chennai. floor: ground out of 4. bathrooms: 2. tenant preference: bachelors/family. rent: inr 30000 per month.","waste management, cctv, solar lighting, security, lift",near college (2.9 km); near mosque (3.2 km),spacious rooms and good ventilation. | owner is responsive and helpful. | good water supply and quiet neighborhood.,not_applicable,maintenance charges are extra. security deposit is two months rent. no loud music after 10 pm.,searching for a rental with parking and lift around nandanam extension.,walls need minor repainting. kitchen cabinets in good condition. flooring shows normal wear.,no,not_applicable,1
9000,2022-05-06,2,700,ground out of 3,super area,mugalivakkam,chennai,furnished,bachelors/family,1,contact owner,"2 bhk furnished home in mugalivakkam, chennai","2 bhk furnished home of 700 sq ft (super area). location: mugalivakkam, chennai. floor: ground out of 3. bathrooms: 1. tenant preference: bachelors/family. rent: inr 9000 per month.","fire safety, waste management, maintenance staff, play area, rainwater harvesting",near mosque (3.7 km); near atm (2.0 km); near bus stop (1.7 km),safe area with friendly neighbors. | spacious rooms and good ventilation.,not_applicable,tenant must follow society by-laws. maintenance charges are extra. one month notice required before vacating. pets allowed only with prior approval.,looking for a 2 bhk near mugalivakkam within inr 9000.,walls need minor repainting. good natural light in living room.,no,not_applicable,1
12000,2022-06-23,1,650,1 out of 2,super area,triplicane,chennai,unfurnished,bachelors/family,1,contact owner,"1 bhk unfurnished home in triplicane, chennai","1 bhk unfurnished home of 650 sq ft (super area). location: triplicane, chennai. floor: 1 out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 12000 per month.","solar lighting, maintenance staff, security, fire safety, play area",near church (3.5 km); near bus stop (1.1 km); near atm (3.2 km); near clinic (2.3 km),spacious rooms and good ventilation. | safe area with friendly neighbors.,not_applicable,no loud music after 10 pm. pets allowed only with prior approval. one month notice required before vacating. security deposit is two months rent.,"want to move in next month, budget around inr 12000.",kitchen cabinets in good condition. bathrooms are clean and functional.,no,not_applicable,1
30000,2022-07-08,3,1500,ground out of 1,carpet area,"korattur, jawaharlal nehru road",chennai,semi-furnished,family,2,contact owner,"3 bhk semi-furnished home in korattur, jawaharlal nehru road, chennai","3 bhk semi-furnished home of 1500 sq ft (carpet area). location: korattur, jawaharlal nehru road, chennai. floor: ground out of 1. bathrooms: 2. tenant preference: family. rent: inr 30000 per month.","club house, solar lighting, intercom, maintenance staff, park, power backup, gym",near metro station (0.9 km); near mall (1.7 km),parking is convenient and secure. | good water supply and quiet neighborhood. | easy access to public transport.,not_applicable,no smoking inside the house. security deposit is two months rent. one month notice required before vacating. tenant must follow society by-laws.,"want to move in next month, budget around inr 30000.",flooring shows normal wear. electrical fittings are working properly.,no,not_applicable,0
20000,2022-05-10,3,1175,3 out of 4,carpet area,lanchor abode valley,chennai,furnished,bachelors,2,contact owner,"3 bhk furnished home in lanchor abode valley, chennai","3 bhk furnished home of 1175 sq ft (carpet area). location: lanchor abode valley, chennai. floor: 3 out of 4. bathrooms: 2. tenant preference: bachelors. rent: inr 20000 per month.","gated community, water supply, solar lighting, visitor parking, community hall, gym",near hospital (2.2 km); near clinic (2.6 km),easy access to public transport. | safe area with friendly neighbors. | maintenance is timely and professional.,not_applicable,pets allowed only with prior approval. no smoking inside the house. no loud music after 10 pm.,looking for a 3 bhk near lanchor abode valley within inr 20000.,electrical fittings are working properly. walls need minor repainting.,no,not_applicable,0
12000,2022-06-17,2,750,4 out of 4,super area,nesapakkam,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in nesapakkam, chennai","2 bhk unfurnished home of 750 sq ft (super area). location: nesapakkam, chennai. floor: 4 out of 4. bathrooms: 2. tenant preference: bachelors/family. rent: inr 12000 per month.","power backup, play area, parking, gated community, solar lighting, rainwater harvesting",near clinic (3.2 km); near church (1.0 km); near atm (2.7 km); near pharmacy (1.1 km),spacious rooms and good ventilation. | parking is convenient and secure.,not_applicable,tenant must follow society by-laws. pets allowed only with prior approval. no loud music after 10 pm. maintenance charges are extra.,looking for a 2 bhk near nesapakkam within inr 12000.,good natural light in living room. walls need minor repainting.,no,not_applicable,1
9500,2022-06-16,2,1010,1 out of 2,super area,"urapakkam, vandalur r.f, gst road",chennai,semi-furnished,bachelors/family,2,contact owner,"2 bhk semi-furnished home in urapakkam, vandalur r.f, gst road, chennai","2 bhk semi-furnished home of 1010 sq ft (super area). location: urapakkam, vandalur r.f, gst road, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 9500 per month.","security, waste management, solar lighting, play area, cctv",near market (0.6 km); near school (3.4 km); near bus stop (3.7 km),safe area with friendly neighbors. | clean and well maintained building.,not_applicable,tenant must follow society by-laws. no loud music after 10 pm. one month notice required before vacating. maintenance charges are extra.,"want to move in next month, budget around inr 9500.",bathrooms are clean and functional. electrical fittings are working properly.,no,not_applicable,1
22000,2022-06-16,2,1050,4 out of 4,super area,"baby nagar extention, velachery",chennai,semi-furnished,family,2,contact agent,"2 bhk semi-furnished home in baby nagar extention, velachery, chennai","2 bhk semi-furnished home of 1050 sq ft (super area). location: baby nagar extention, velachery, chennai. floor: 4 out of 4. bathrooms: 2. tenant preference: family. rent: inr 22000 per month.","visitor parking, waste management, water supply, play area, intercom, power backup, parking, solar lighting",near bus stop (2.1 km); near hospital (2.6 km); near school (2.3 km); near church (0.9 km),good water supply and quiet neighborhood. | maintenance is timely and professional. | easy access to public transport.,not_applicable,security deposit is two months rent. no loud music after 10 pm. tenant must follow society by-laws.,"need a semi-furnished home in chennai, prefer family.",kitchen cabinets in good condition. walls need minor repainting.,no,not_applicable,1
23000,2022-06-20,3,1060,2 out of 32,carpet area,mogappair east,chennai,unfurnished,bachelors,2,contact owner,"3 bhk unfurnished home in mogappair east, chennai","3 bhk unfurnished home of 1060 sq ft (carpet area). location: mogappair east, chennai. floor: 2 out of 32. bathrooms: 2. tenant preference: bachelors. rent: inr 23000 per month.","power backup, visitor parking, cctv, park, parking, rainwater harvesting",near clinic (1.0 km); near market (0.6 km); near mall (2.9 km); near supermarket (2.7 km),maintenance is timely and professional. | spacious rooms and good ventilation. | easy access to public transport.,not_applicable,no smoking inside the house. pets allowed only with prior approval. tenant must follow society by-laws. security deposit is two months rent.,searching for a rental with parking and lift around mogappair east.,walls need minor repainting. flooring shows normal wear. kitchen cabinets in good condition.,no,not_applicable,0
9500,2022-07-06,2,900,1 out of 2,super area,ambattur,chennai,unfurnished,bachelors/family,2,contact owner,"2 bhk unfurnished home in ambattur, chennai","2 bhk unfurnished home of 900 sq ft (super area). location: ambattur, chennai. floor: 1 out of 2. bathrooms: 2. tenant preference: bachelors/family. rent: inr 9500 per month.","gym, fire safety, maintenance staff, waste management, play area, intercom",near market (2.5 km); near atm (1.9 km); near bank (2.4 km); near bus stop (1.7 km),maintenance is timely and professional. | good water supply and quiet neighborhood.,not_applicable,security deposit is two months rent. pets allowed only with prior approval. tenant must follow society by-laws.,"want to move in next month, budget around inr 9500.",flooring shows normal wear. good natural light in living room. kitchen cabinets in good condition.,no,not_applicable,1
13500,2022-06-29,2,1000,4 out of 10,super area,"padur, old mahabalipuram road",chennai,semi-furnished,family,2,contact owner,"2 bhk semi-furnished home in padur, old mahabalipuram road, chennai","2 bhk semi-furnished home of 1000 sq ft (super area). location: padur, old mahabalipuram road, chennai. floor: 4 out of 10. bathrooms: 2. tenant preference: family. rent: inr 13500 per month.","power backup, security, water supply, visitor parking, maintenance staff, gated community, parking, play area",near railway station (2.7 km); near college (1.7 km),good water supply and quiet neighborhood. | clean and well maintained building. | owner is responsive and helpful.,not_applicable,maintenance charges are extra. pets allowed only with prior approval. no smoking inside the house.,"want to move in next month, budget around inr 13500.",bathrooms are clean and functional. flooring shows normal wear. walls need minor repainting.,no,not_applicable,1
12000,2022-05-29,1,450,1 out of 2,super area,mambalam west,chennai,unfurnished,bachelors/family,1,contact owner,"1 bhk unfurnished home in mambalam west, chennai","1 bhk unfurnished home of 450 sq ft (super area). location: mambalam west, chennai. floor: 1 out of 2. bathrooms: 1. tenant preference: bachelors/family. rent: inr 12000 per month.","intercom, gym, internet ready, community hall, security, club house, cctv, rainwater harvesting",near railway station (1.9 km); near mosque (3.3 km); near atm (1.0 km); near temple (0.5 km),maintenance is timely and professional. | clean and well maintained building. | owner is responsive and helpful.,not_applicable,no loud music after 10 pm. tenant must follow society by-laws. one month notice required before vacating. no smoking inside the house.,searching for a rental with parking and lift around mambalam west.,bathrooms are clean and functional. flooring shows normal wear. walls need minor repainting.,no,not_applicable,1
33000,2022-07-10,3,1600,15 out of 16,carpet area,iyyappanthangal,chennai,semi-furnished,bachelors/family,3,contact agent,"3 bhk semi-furnished home in iyyappanthangal, chennai","3 bhk semi-furnished home of 1600 sq ft (carpet area). location: iyyappanthangal, chennai. floor: 15 out of 16. bathrooms: 3. tenant preference: bachelors/family. rent: inr 33000 per month.","power backup, community hall, solar lighting, waste management, intercom, parking, maintenance staff",near bus stop (2.7 km); near mall (0.6 km); near school (0.7 km),easy access to public transport. | owner is responsive and helpful. | safe area with friendly neighbors.,not_applicable,one month notice required before vacating. no loud music after 10 pm. security deposit is two months rent. pets allowed only with prior approval.,"want to move in next month, budget around inr 33000.",electrical fittings are working properly. kitchen cabinets in good condition.,no,not_applicable,0
