Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Description,IsSynthetic
2022-06-27,3,16000,1158,2 out of 4,Carpet Area,"Urapakkam, Vandalur R.F, GST Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"3 BHK semi-furnished home of 1158 sq ft (carpet area) in Urapakkam, Vandalur R.F, GST Road, Chennai. Located on 2 out of 4. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 16000.",No
2022-06-10,1,5700,400,Ground out of 3,Super Area,Redhills,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 400 sq ft (super area) in Redhills, Chennai. Located on Ground out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 5700.",No
2022-05-12,1,15000,450,2 out of 3,Super Area,Mylapore,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 450 sq ft (super area) in Mylapore, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 15000.",No
2022-06-27,2,11000,960,1 out of 3,Super Area,Kovilambakkam,Chennai,Semi-Furnished,Family,2,Contact Owner,"2 BHK semi-furnished home of 960 sq ft (super area) in Kovilambakkam, Chennai. Located on 1 out of 3. Suitable for Family. 2 bathroom(s). Monthly rent: INR 11000.",No
2022-05-15,3,17000,1400,10 out of 15,Super Area,Mambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"3 BHK semi-furnished home of 1400 sq ft (super area) in Mambakkam, Chennai. Located on 10 out of 15. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 17000.",No
2022-05-12,2,18000,970,Ground out of 3,Super Area,Thoraipakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,"2 BHK furnished home of 970 sq ft (super area) in Thoraipakkam, Chennai. Located on Ground out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 18000.",No
2022-05-12,2,9500,1000,1 out of 2,Super Area,Old Washermanpet,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1000 sq ft (super area) in Old Washermanpet, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 9500.",No
2022-04-29,2,12000,900,1 out of 2,Carpet Area,Adambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 900 sq ft (carpet area) in Adambakkam, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-05-19,2,8000,800,4 out of 4,Super Area,"Urapakkam, Vandalur R.F, GST Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 800 sq ft (super area) in Urapakkam, Vandalur R.F, GST Road, Chennai. Located on 4 out of 4. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 8000.",No
2022-07-04,2,12000,1100,Ground out of 1,Carpet Area,New Perungalathur,Chennai,Semi-Furnished,Family,1,Contact Owner,"2 BHK semi-furnished home of 1100 sq ft (carpet area) in New Perungalathur, Chennai. Located on Ground out of 1. Suitable for Family. 1 bathroom(s). Monthly rent: INR 12000.",No
2022-05-12,2,16000,800,1 out of 3,Super Area,Thiruvanmiyur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 800 sq ft (super area) in Thiruvanmiyur, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 16000.",No
2022-05-12,2,8000,800,1 out of 3,Super Area,Poonamalle,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"2 BHK unfurnished home of 800 sq ft (super area) in Poonamalle, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 8000.",No
2022-05-01,2,10000,898,7 out of 14,Super Area,Kalavakkam,Chennai,Semi-Furnished,Family,2,Contact Owner,"2 BHK semi-furnished home of 898 sq ft (super area) in Kalavakkam, Chennai. Located on 7 out of 14. Suitable for Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-07-02,2,15000,800,Ground out of 2,Carpet Area,Vadapalani,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 800 sq ft (carpet area) in Vadapalani, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-06-10,2,7500,600,1 out of 2,Super Area,Vandalur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"2 BHK unfurnished home of 600 sq ft (super area) in Vandalur, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7500.",No
2022-07-02,3,30000,2000,1 out of 1,Carpet Area,rgl bungalows,Chennai,Furnished,Bachelors/Family,3,Contact Owner,"3 BHK furnished home of 2000 sq ft (carpet area) in rgl bungalows, Chennai. Located on 1 out of 1. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 30000.",No
2022-06-04,2,16000,870,3 out of 3,Super Area,Chennai,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 870 sq ft (super area) in Chennai, Chennai. Located on 3 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 16000.",No
2022-07-06,2,14000,1100,17 out of 20,Carpet Area,Old Mahabalipuram Road,Chennai,Semi-Furnished,Family,2,Contact Agent,"2 BHK semi-furnished home of 1100 sq ft (carpet area) in Old Mahabalipuram Road, Chennai. Located on 17 out of 20. Suitable for Family. 2 bathroom(s). Monthly rent: INR 14000.",No
2022-05-01,2,10000,650,1 out of 2,Carpet Area,Near Jeyachandran textiles,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 650 sq ft (carpet area) in Near Jeyachandran textiles, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-07-06,3,25000,1100,5 out of 18,Carpet Area,"Korattur, Jawaharlal Nehru Road",Chennai,Unfurnished,Bachelors,2,Contact Agent,"3 BHK unfurnished home of 1100 sq ft (carpet area) in Korattur, Jawaharlal Nehru Road, Chennai. Located on 5 out of 18. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 25000.",No
2022-05-30,2,11500,1250,Ground out of 2,Carpet Area,S.Kolathur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1250 sq ft (carpet area) in S.Kolathur, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 11500.",No
2022-07-08,2,11000,1145,1 out of 3,Super Area,Ambattur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1145 sq ft (super area) in Ambattur, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 11000.",No
2022-06-18,2,10000,780,2 out of 3,Super Area,Madipakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 780 sq ft (super area) in Madipakkam, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-06-22,1,7000,680,1 out of 3,Super Area,"Kelambakkam, Old Mahabalipuram Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 680 sq ft (super area) in Kelambakkam, Old Mahabalipuram Road, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7000.",No
2022-05-16,2,18000,860,2 out of 3,Super Area,Ashok Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 860 sq ft (super area) in Ashok Nagar, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 18000.",No
2022-06-29,1,7500,600,1 out of 2,Super Area,"Perungalathur, Chennai Bypass Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 600 sq ft (super area) in Perungalathur, Chennai Bypass Road, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7500.",No
2022-06-29,2,7500,750,Ground out of 2,Carpet Area,Oragadam,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"2 BHK semi-furnished home of 750 sq ft (carpet area) in Oragadam, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7500.",No
2022-06-29,2,12000,800,2 out of 2,Super Area,Chitlapakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 800 sq ft (super area) in Chitlapakkam, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-06-29,2,12000,570,Ground out of 2,Carpet Area,"Perungalathur, Chennai Bypass Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 570 sq ft (carpet area) in Perungalathur, Chennai Bypass Road, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-05-20,2,40000,1150,2 out of 4,Super Area,Raja Annamalai Puram,Chennai,Furnished,Bachelors/Family,2,Contact Owner,"2 BHK furnished home of 1150 sq ft (super area) in Raja Annamalai Puram, Chennai. Located on 2 out of 4. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 40000.",No
2022-06-18,1,5000,350,Ground out of 1,Super Area,Kolathur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 350 sq ft (super area) in Kolathur, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 5000.",No
2022-06-22,2,20000,894,4 out of 4,Super Area,Tiruvenkadam Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 894 sq ft (super area) in Tiruvenkadam Nagar, Chennai. Located on 4 out of 4. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 20000.",No
2022-06-29,1,6500,600,Ground out of 2,Super Area,Perambur,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 600 sq ft (super area) in Perambur, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6500.",No
2022-06-29,3,12000,900,Ground out of 2,Super Area,Anakaputhur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"3 BHK semi-furnished home of 900 sq ft (super area) in Anakaputhur, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-06-29,1,12000,550,Ground out of 3,Super Area,"Purasawalkam, PH Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 550 sq ft (super area) in Purasawalkam, PH Road, Chennai. Located on Ground out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 12000.",No
2022-06-02,2,14000,717,1 out of 3,Super Area,Sholinganallur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 717 sq ft (super area) in Sholinganallur, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 14000.",No
2022-05-20,2,13000,660,Ground out of 2,Carpet Area,Virugambakkam,Chennai,Semi-Furnished,Family,2,Contact Agent,"2 BHK semi-furnished home of 660 sq ft (carpet area) in Virugambakkam, Chennai. Located on Ground out of 2. Suitable for Family. 2 bathroom(s). Monthly rent: INR 13000.",No
2022-05-31,1,9000,700,1 out of 2,Carpet Area,Sivalingapuram,Chennai,Semi-Furnished,Family,1,Contact Owner,"1 BHK semi-furnished home of 700 sq ft (carpet area) in Sivalingapuram, Chennai. Located on 1 out of 2. Suitable for Family. 1 bathroom(s). Monthly rent: INR 9000.",No
2022-06-05,1,10000,800,Ground out of 3,Super Area,Navalur,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 800 sq ft (super area) in Navalur, Chennai. Located on Ground out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 10000.",No
2022-06-29,3,15000,1070,1 out of 3,Super Area,Medavakkam,Chennai,Unfurnished,Family,2,Contact Owner,"3 BHK unfurnished home of 1070 sq ft (super area) in Medavakkam, Chennai. Located on 1 out of 3. Suitable for Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-06-29,2,15000,1000,Ground out of 4,Super Area,Anna Nagar West Extension,Chennai,Semi-Furnished,Family,2,Contact Owner,"2 BHK semi-furnished home of 1000 sq ft (super area) in Anna Nagar West Extension, Chennai. Located on Ground out of 4. Suitable for Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-06-29,2,19000,1500,Ground out of 1,Super Area,Porur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1500 sq ft (super area) in Porur, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 19000.",No
2022-06-29,2,15000,900,1 out of 2,Super Area,Velachery,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 900 sq ft (super area) in Velachery, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-06-29,2,16000,1700,1 out of 2,Super Area,Pallikaranai,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1700 sq ft (super area) in Pallikaranai, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 16000.",No
2022-05-20,2,12000,900,Ground out of 3,Super Area,"Perungalathur, Chennai Bypass Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 900 sq ft (super area) in Perungalathur, Chennai Bypass Road, Chennai. Located on Ground out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-06-25,2,11000,805,Ground out of 3,Super Area,"Madhavaram, Guntur Chennai Highway",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 805 sq ft (super area) in Madhavaram, Guntur Chennai Highway, Chennai. Located on Ground out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 11000.",No
2022-06-29,2,8000,750,Ground out of 1,Super Area,Kovur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 750 sq ft (super area) in Kovur, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 8000.",No
2022-05-26,2,10000,1000,2 out of 2,Super Area,"Singaperumal Koil, Tiruchi Chennai Highway",Chennai,Furnished,Bachelors/Family,2,Contact Owner,"2 BHK furnished home of 1000 sq ft (super area) in Singaperumal Koil, Tiruchi Chennai Highway, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 10000.",No
2022-06-02,3,70000,1500,1 out of 4,Carpet Area,T Nagar,Chennai,Furnished,Bachelors/Family,3,Contact Owner,"3 BHK furnished home of 1500 sq ft (carpet area) in T Nagar, Chennai. Located on 1 out of 4. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 70000.",No
2022-06-22,3,45000,3200,Ground out of 2,Super Area,"Panaiyur, E Coast Road",Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,"3 BHK unfurnished home of 3200 sq ft (super area) in Panaiyur, E Coast Road, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 45000.",No
2022-05-28,3,60000,1700,7 out of 11,Carpet Area,Vadapalani,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,"3 BHK semi-furnished home of 1700 sq ft (carpet area) in Vadapalani, Chennai. Located on 7 out of 11. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 60000.",No
2022-06-13,2,12000,1000,2 out of 2,Super Area,Maduravoyal,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1000 sq ft (super area) in Maduravoyal, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-05-27,3,80000,2036,6 out of 11,Super Area,Mandaiveli,Chennai,Semi-Furnished,Bachelors,3,Contact Agent,"3 BHK semi-furnished home of 2036 sq ft (super area) in Mandaiveli, Chennai. Located on 6 out of 11. Suitable for Bachelors. 3 bathroom(s). Monthly rent: INR 80000.",No
2022-07-06,2,23999,610,4 out of 4,Carpet Area,"Kannan Colony, Pazhavanthangal",Chennai,Furnished,Bachelors/Family,1,Contact Agent,"2 BHK furnished home of 610 sq ft (carpet area) in Kannan Colony, Pazhavanthangal, Chennai. Located on 4 out of 4. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 23999.",No
2022-05-25,2,23000,1100,2 out of 3,Super Area,Thoraipakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,"2 BHK furnished home of 1100 sq ft (super area) in Thoraipakkam, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 23000.",No
2022-04-30,2,16000,900,2 out of 2,Carpet Area,Thirumangalam-Anna Nagar West,Chennai,Semi-Furnished,Bachelors,2,Contact Owner,"2 BHK semi-furnished home of 900 sq ft (carpet area) in Thirumangalam-Anna Nagar West, Chennai. Located on 2 out of 2. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 16000.",No
2022-07-06,2,14000,840,Ground out of 3,Super Area,"Krishna Nagar-Chromepet, Chromepet",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 840 sq ft (super area) in Krishna Nagar-Chromepet, Chromepet, Chennai. Located on Ground out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 14000.",No
2022-06-07,3,13000,965,Ground out of 2,Super Area,Mangadu,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"3 BHK semi-furnished home of 965 sq ft (super area) in Mangadu, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 13000.",No
2022-07-08,2,14000,800,2 out of 4,Super Area,Tiruvottiyur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 800 sq ft (super area) in Tiruvottiyur, Chennai. Located on 2 out of 4. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 14000.",No
2022-05-06,1,7000,700,1 out of 2,Super Area,Ponneri,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"1 BHK unfurnished home of 700 sq ft (super area) in Ponneri, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 7000.",No
2022-06-01,1,3500,600,Ground out of 1,Super Area,"Kundrathur, Pallavaram Kundrathur Main Road",Chennai,Unfurnished,Bachelors,1,Contact Owner,"1 BHK unfurnished home of 600 sq ft (super area) in Kundrathur, Pallavaram Kundrathur Main Road, Chennai. Located on Ground out of 1. Suitable for Bachelors. 1 bathroom(s). Monthly rent: INR 3500.",No
2022-05-10,1,12000,650,1 out of 3,Carpet Area,355 konnur highroad Ayanavaram,Chennai,Semi-Furnished,Family,2,Contact Owner,"1 BHK semi-furnished home of 650 sq ft (carpet area) in 355 konnur highroad Ayanavaram, Chennai. Located on 1 out of 3. Suitable for Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-05-20,1,8000,320,2 out of 3,Super Area,Kolathur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 320 sq ft (super area) in Kolathur, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 8000.",No
2022-07-06,2,25000,700,Ground out of 3,Super Area,"Aminjikarai, PH Road",Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"2 BHK semi-furnished home of 700 sq ft (super area) in Aminjikarai, PH Road, Chennai. Located on Ground out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 25000.",No
2022-07-06,2,12000,850,1 out of 3,Super Area,Velachery,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 850 sq ft (super area) in Velachery, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 12000.",No
2022-06-14,1,7000,550,1 out of 2,Super Area,"Valasaravakkam, Arcot Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 550 sq ft (super area) in Valasaravakkam, Arcot Road, Chennai. Located on 1 out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7000.",No
2022-06-17,3,20000,1400,12 out of 13,Carpet Area,"Padur, Old Mahabalipuram Road",Chennai,Semi-Furnished,Family,3,Contact Owner,"3 BHK semi-furnished home of 1400 sq ft (carpet area) in Padur, Old Mahabalipuram Road, Chennai. Located on 12 out of 13. Suitable for Family. 3 bathroom(s). Monthly rent: INR 20000.",No
2022-06-29,2,18000,1300,3 out of 3,Super Area,Velachery,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 1300 sq ft (super area) in Velachery, Chennai. Located on 3 out of 3. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 18000.",No
2022-05-20,2,15000,1125,24 out of 31,Super Area,Thalambur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,"2 BHK semi-furnished home of 1125 sq ft (super area) in Thalambur, Chennai. Located on 24 out of 31. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-05-20,2,11000,780,1 out of 14,Carpet Area,Mugalivakkam,Chennai,Semi-Furnished,Family,2,Contact Owner,"2 BHK semi-furnished home of 780 sq ft (carpet area) in Mugalivakkam, Chennai. Located on 1 out of 14. Suitable for Family. 2 bathroom(s). Monthly rent: INR 11000.",No
2022-05-27,3,65000,2200,2 out of 4,Carpet Area,Alwarpet,Chennai,Unfurnished,Bachelors,3,Contact Agent,"3 BHK unfurnished home of 2200 sq ft (carpet area) in Alwarpet, Chennai. Located on 2 out of 4. Suitable for Bachelors. 3 bathroom(s). Monthly rent: INR 65000.",No
2022-07-06,3,75000,2500,Ground out of 1,Carpet Area,Mandaiveli,Chennai,Unfurnished,Bachelors/Family,3,Contact Agent,"3 BHK unfurnished home of 2500 sq ft (carpet area) in Mandaiveli, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 75000.",No
2022-06-29,1,15000,1300,Ground out of 2,Super Area,Anna Nagar,Chennai,Furnished,Bachelors,2,Contact Owner,"1 BHK furnished home of 1300 sq ft (super area) in Anna Nagar, Chennai. Located on Ground out of 2. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 15000.",No
2022-05-22,2,12000,619,1 out of 8,Carpet Area,"Chromepet, GST Road",Chennai,Furnished,Bachelors/Family,1,Contact Owner,"2 BHK furnished home of 619 sq ft (carpet area) in Chromepet, GST Road, Chennai. Located on 1 out of 8. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 12000.",No
2022-05-08,2,8500,700,Ground out of 2,Carpet Area,Ambattur,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"2 BHK semi-furnished home of 700 sq ft (carpet area) in Ambattur, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 8500.",No
2022-06-09,3,38000,2100,2 out of 2,Super Area,Ashok Nagar,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,"3 BHK semi-furnished home of 2100 sq ft (super area) in Ashok Nagar, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 38000.",No
2022-06-29,3,30000,2000,1 out of 3,Super Area,Ashok Nagar,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,"3 BHK unfurnished home of 2000 sq ft (super area) in Ashok Nagar, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 30000.",No
2022-07-08,1,9000,700,Ground out of 2,Super Area,venkatesa perumal nagar,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 700 sq ft (super area) in venkatesa perumal nagar, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 9000.",No
2022-07-06,3,25000,2000,1 out of 3,Super Area,"Kattupakkam, PH Road",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,"3 BHK semi-furnished home of 2000 sq ft (super area) in Kattupakkam, PH Road, Chennai. Located on 1 out of 3. Suitable for Bachelors/Family. 3 bathroom(s). Monthly rent: INR 25000.",No
2022-05-25,2,9000,600,2 out of 2,Carpet Area,"Valasaravakkam, Arcot Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 600 sq ft (carpet area) in Valasaravakkam, Arcot Road, Chennai. Located on 2 out of 2. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 9000.",No
2022-06-05,1,8500,550,Ground out of 1,Carpet Area,"Arunachalam Nagar, Madipakkam",Chennai,Unfurnished,Bachelors,2,Contact Owner,"1 BHK unfurnished home of 550 sq ft (carpet area) in Arunachalam Nagar, Madipakkam, Chennai. Located on Ground out of 1. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 8500.",No
2022-06-05,1,7000,300,Ground out of 1,Super Area,"Pazhavanthangal, Jawaharlal Nehru Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 300 sq ft (super area) in Pazhavanthangal, Jawaharlal Nehru Road, Chennai. Located on Ground out of 1. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7000.",No
2022-06-27,2,25000,800,2 out of 3,Carpet Area,Anna Nagar,Chennai,Semi-Furnished,Bachelors,2,Contact Agent,"2 BHK semi-furnished home of 800 sq ft (carpet area) in Anna Nagar, Chennai. Located on 2 out of 3. Suitable for Bachelors. 2 bathroom(s). Monthly rent: INR 25000.",No
2022-06-18,2,8500,850,3 out of 4,Super Area,Mathur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,"2 BHK unfurnished home of 850 sq ft (super area) in Mathur, Chennai. Located on 3 out of 4. Suitable for Bachelors/Family. 2 bathroom(s). Monthly rent: INR 8500.",No
2022-05-23,1,6500,450,2 out of 3,Carpet Area,Mahindra World City,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner,"1 BHK semi-furnished home of 450 sq ft (carpet area) in Mahindra World City, Chennai. Located on 2 out of 3. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 6500.",No
2022-05-29,1,7000,500,Ground out of 2,Super Area,Ambattur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,"1 BHK unfurnished home of 500 sq ft (super area) in Ambattur, Chennai. Located on Ground out of 2. Suitable for Bachelors/Family. 1 bathroom(s). Monthly rent: INR 7000.",No
2022-05-20,1,4500,115,Ground out of 3,Super Area,Choolaimedu,Chennai,Unfurnished,Bachelors,1,Contact Owner,"1 BHK unfurnished home of 115 sq ft (super area) in Choolaimedu, Chennai. Located on Ground out of 3. Suitable for Bachelors. 1 bathroom(s). Monthly rent: INR 4500.",No
